=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:29:14.630 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:15.590 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:16.550 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:17.512 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:18.473 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:19.434 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:20.395 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:21.356 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:22.317 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:23.278 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:24.240 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:25.201 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:26.161 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:27.122 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:28.083 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:29.044 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:30.004 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:30.964 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:32.503 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:33.463 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:07.581 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:08.543 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:09.504 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:10.465 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:11.427 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:12.388 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:13.349 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:14.311 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:15.271 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:16.233 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:17.193 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:18.154 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:19.115 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:20.076 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:21.037 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:21.999 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:22.959 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:23.919 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:24.881 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:25.842 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:26.803 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:27.763 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:28.724 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:29.685 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:30.647 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:31.607 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:32.569 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:33.529 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:34.491 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:35.451 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:36.412 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:37.373 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:38.335 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:39.295 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:40.255 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:41.216 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:42.177 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:43.138 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:44.099 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:45.060 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:46.021 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:46.981 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:47.942 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:48.903 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:49.863 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:50.824 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:51.783 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:52.745 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:53.705 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:54.666 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:55.628 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:56.588 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:30:57.549 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:30:58.509 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
